White Keyword,Lanco International Super Series,Field Hockey,10
White Keyword,Hockey: International Super Series,Field Hockey,10
White Keyword,AFL,AFL,20
White Keyword,American Football,American Football,20
White Keyword,Baseball,Baseball,20
White Keyword,Basketball,Basketball,20
White Keyword,Boxing,Boxing,20
White Keyword,Cricket,Cricket,20
White Keyword,Cue Sports,Cue Sports,20
White Keyword,Cycling,Cycling,20
White Keyword,Darts,Darts,20
White Keyword,Field Hockey,Field Hockey,20
White Keyword,Fighting,Fighting,20
White Keyword,Fishing,Fishing,20
White Keyword,Golf,Golf,20
White Keyword,Ice Hockey,Ice Hockey,20
White Keyword,Lawn Bowls,Lawn Bowls,20
White Keyword,Motor Sports,Motor Sports,20
White Keyword,Netball,Netball,20
White Keyword,Poker,Poker,20
White Keyword,Racing,Racing,5
White Keyword,Rodeo,Rodeo,20
White Keyword,Rugby League,Rugby League,20
White Keyword,Rugby Union,Rugby Union,20
White Keyword,Soccer,Soccer,20
White Keyword,Squash,Squash,20
White Keyword,Surfing,Surfing,20
White Keyword,Table Tennis,Table Tennis,20
White Keyword,Tennis,Tennis,20
White Keyword,Triathlon,Triathlon,20
White Keyword,Volleyball,Volleyball,20
White Keyword,Catch and Cook,Fishing,10
White Keyword,DW Bundeslige Kick Off,Soccer,10
Black Keyword,Bless Me Father,"",
White Keyword,WNBL,Basketball,10
White Keyword,Fishin',Fishing,10
White Keyword,NAB Cup,AFL,10
Black Keyword,Who The (Bleep) Did I Marry?,"",
Black Keyword,The Karate Kid,"",
Black Keyword,F Troop,"",
Black Keyword,Fish Hooks,"",
White Keyword,USPGA,Golf,10
White Keyword,USLPGA,Golf,10
Black Keyword,Better Homes & Gardens,"",
White Keyword,IFISH,Fishing,10
White Keyword,Lightning Cup,AFL,10
White Keyword,NTFL,AFL,10
White Keyword,UCI Track,Cycling,10
White Keyword,Golfing,Golf,10
White Keyword,Match Play,Golf,10
Black Keyword,Surfing the Menu,"",
White Keyword,Surfers,Surfing,10
White Keyword,Surfari,Surfing,10
White Keyword,AutoSpeed,Motor Sports,10
White Keyword,UEL,Soccer,10
White Keyword,Classic Racers,Motor Sports,10
White Keyword,Sprintcar,Motor Sports,10
White Keyword,Rabbbitohs,Rugby League,10
White Keyword,English Super League,Rugby League,10
White Keyword,Ultimate Fighter,Fighting,10
White Keyword,Euro League,Basketball,10
White Keyword,Dallas Cowboys,American Football,10
White Keyword,League One,Soccer,10
White Keyword,Football Asia,Soccer,10
White Keyword,Iron Woman,Triathlon,10
White Keyword,Copa,Soccer,10
White Keyword,Scottish Div 3,Soccer,10
White Keyword,Fishin'Trip,Fishing,10
White Keyword,Test,Cricket,5
White Keyword,Mana Mamau,Boxing,10
White Keyword,Raceway,Motor Sports,10
White Keyword,Supercross,Motor Sports,10
White Keyword,Mt Panorama,Motor Sports,10
White Keyword,Bathurst 12 Hour,Motor Sports,10
White Keyword,Lingerie Football League,American Football,10
White Keyword,Dirt Series,Motor Sports,10
White Keyword,The Dirt,Motor Sports,10
White Keyword,College Gameday,Basketball,10
White Keyword,Rabo Pro 12,Rugby Union,10
White Keyword,Planet Speed,Motor Sports,10
White Keyword,Capital One Cup,Soccer,10
White Keyword,GP2,Motor Sports,10
Black Keyword,Family Guy,"",
Black Keyword,Double Trouble (The First Test),"",
Black Keyword,Rin Tin Tin - The Test,"",
White Keyword,WGC,Golf,10
White Keyword,Tirreno-Adriatico,Cycling,10
White Keyword,Dunlop Series,Motor Sports,10
White Keyword,NSW Cup,Rugby League,10
White Keyword,Little League,Baseball,10
White Keyword,Margaret River 7's,Rugby Union,10
White Keyword,Holden Cup,Rugby League,10
White Keyword,Chili Bowl,Motor Sports,10
White Keyword,LV= Cup,Rugby Union,10
White Keyword,Nike Lowers Pro,Surfing,10
White Keyword,Quiksilver Pro,Surfing,10
White Keyword,Paris-Nice,Cycling,10
White Keyword,Dallas Cowboy,American Football,10
White Keyword,West Coast Conference,Basketball,10
White Keyword,Nine's Sunday Football,Rugby League,10
White Keyword,Koori Knockout,Rugby League,10
White Keyword,Top 14,Rugby Union,10
White Keyword,Federation Cup,Tennis,10
Black Keyword,Double Trouble,"",
Black Keyword,Pat and Stan,"",
Black Keyword,My Family,"",
Black Keyword,Big Bang Theory,"",
Black Keyword,Looney Tunes,"",
White Keyword,Toyota Racing,Motor Sports,10
White Keyword,Drag Racing,Motor Sports,10
White Keyword,Road Racing,Motor Sports,10
White Keyword,Motor Mate,Motor Sports,10
